"Tissue","Cell_type","Category","Change","Chromosome","Start","End","Annotation","Gene.ID","Symbol","Correlated_Start","Correlated_End","Correlated_Annotation","Correlated_Gene.ID","Correlated_Symbol","Correlation"
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr22",18157058,18157558,"5' UTR",11274,"USP18",18110599,18111099,"Promoter (<=1kb)",51807,"TUBA8",0.558998481
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr22",18157058,18157558,"5' UTR",11274,"USP18",18157672,18158172,"Exon (ENST00000215794.8/11274, exon 2 of 11)",11274,"USP18",0.539197542
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr9",19116279,19116779,"Promoter (1-2kb)",123,"PLIN2",19156774,19157274,"Distal Intergenic",123,"PLIN2",0.53349083
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr9",19156774,19157274,"Distal Intergenic",123,"PLIN2",19116279,19116779,"Promoter (1-2kb)",123,"PLIN2",0.53349083
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",19398890,19399390,"Intron (ENST00000360655.8/89797, intron 1 of 37)",89797,"NAV2",19398285,19398785,"Intron (ENST00000360655.8/89797, intron 1 of 37)",89797,"NAV2",0.52269197
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",19715231,19715731,"Promoter (1-2kb)",89797,"NAV2",19683339,19683839,"Intron (ENST00000360655.8/89797, intron 1 of 37)",100126784,"NAV2-AS6",0.516607073
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr8",22551667,22552167,"Promoter (<=1kb)",10174,"SORBS3",22574305,22574805,"Promoter (<=1kb)",10174,"SORBS3",0.530036028
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr8",22551667,22552167,"Promoter (<=1kb)",10174,"SORBS3",22597399,22597899,"Promoter (1-2kb)",541565,"C8orf58",0.54969315
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr8",22574305,22574805,"Promoter (<=1kb)",10174,"SORBS3",22551667,22552167,"Promoter (<=1kb)",10174,"SORBS3",0.530036028
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr22",27747135,27747635,"Distal Intergenic",4330,"MN1",27747652,27748152,"Distal Intergenic",4330,"MN1",0.533103565
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr13",30898689,30899189,"Intron (ENST00000592950.5/100507064, intron 3 of 5)",84935,"MEDAG",30905804,30906304,"Promoter (<=1kb)",84935,"MEDAG",0.513597231
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr13",30898689,30899189,"Intron (ENST00000592950.5/100507064, intron 3 of 5)",84935,"MEDAG",30870426,30870926,"Distal Intergenic",440132,"LINC00545",0.519625741
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr13",30905804,30906304,"Promoter (<=1kb)",84935,"MEDAG",30898689,30899189,"Intron (ENST00000592950.5/100507064, intron 3 of 5)",84935,"MEDAG",0.513597231
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr13",30905804,30906304,"Promoter (<=1kb)",84935,"MEDAG",30880719,30881219,"Promoter (<=1kb)",440132,"LINC00545",0.565165343
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr13",30905804,30906304,"Promoter (<=1kb)",84935,"MEDAG",30906351,30906851,"Promoter (<=1kb)",84935,"MEDAG",0.505306957
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr13",30905804,30906304,"Promoter (<=1kb)",84935,"MEDAG",30870426,30870926,"Distal Intergenic",440132,"LINC00545",0.594542909
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr15",31359269,31359769,"Intron (ENST00000307145.4/51621, intron 1 of 1)",51621,"KLF13",31403444,31403944,"Exon (ENST00000500533.3/105370939, exon 3 of 3)",51621,"KLF13",0.517644672
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr6",34196175,34196675,"Distal Intergenic",3159,"HMGA1",34235633,34236133,"Promoter (<=1kb)",3159,"HMGA1",0.550528572
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr6",34235633,34236133,"Promoter (<=1kb)",3159,"HMGA1",34196175,34196675,"Distal Intergenic",3159,"HMGA1",0.550528572
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr6",36127425,36127925,"Promoter (<=1kb)",5603,"MAPK13",36110004,36110504,"3' UTR",5603,"MAPK13",0.541503724
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr22",39454277,39454777,"Promoter (2-3kb)",4248,"MGAT3",39496297,39496797,"Promoter (2-3kb)",54471,"MIEF1",0.519030528
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr22",39454277,39454777,"Promoter (2-3kb)",4248,"MGAT3",39457422,39457922,"Promoter (<=1kb)",4248,"MGAT3",0.524141464
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr15",39595579,39596079,"Promoter (1-2kb)",7057,"THBS1",39583377,39583877,"Promoter (2-3kb)",7057,"THBS1",0.503917152
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr19",40613815,40614315,"Promoter (<=1kb)",8425,"LTBP4",40645960,40646460,"Distal Intergenic",8425,"LTBP4",0.522129019
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr22",43921398,43921898,"Promoter (1-2kb)",80339,"PNPLA3",43945812,43946312,"Exon (ENST00000423180.2/80339, exon 9 of 9)",25813,"SAMM50",0.549370095
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr22",43921398,43921898,"Promoter (1-2kb)",80339,"PNPLA3",43897842,43898342,"Distal Intergenic",150379,"PNPLA5",0.571176693
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr22",44669602,44670102,"Promoter (<=1kb)",55615,"PRR5",44702514,44703014,"Promoter (<=1kb)",55615,"PRR5",0.509221659
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr19",44747991,44748491,"Promoter (<=1kb)",602,"BCL3",44753293,44753793,"Promoter (1-2kb)",602,"BCL3",0.521890052
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr19",44753293,44753793,"Promoter (1-2kb)",602,"BCL3",44747991,44748491,"Promoter (<=1kb)",602,"BCL3",0.521890052
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr19",44753293,44753793,"Promoter (1-2kb)",602,"BCL3",44759931,44760431,"Promoter (1-2kb)",102465879,"MIR8085",0.689474878
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr19",44753293,44753793,"Promoter (1-2kb)",602,"BCL3",44742401,44742901,"Distal Intergenic",602,"BCL3",0.53685053
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr19",44753293,44753793,"Promoter (1-2kb)",602,"BCL3",44757177,44757677,"Promoter (<=1kb)",602,"BCL3",0.527390355
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr19",44757177,44757677,"Promoter (<=1kb)",602,"BCL3",44753293,44753793,"Promoter (1-2kb)",602,"BCL3",0.527390355
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",44968174,44968674,"Promoter (<=1kb)",10882,"C1QL1",44969846,44970346,"Promoter (1-2kb)",10882,"C1QL1",0.521332969
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr15",48627192,48627692,"Intron (ENST00000316623.10/2200, intron 2 of 65)",2200,"FBN1",48596512,48597012,"Intron (ENST00000316623.10/2200, intron 5 of 65)",2200,"FBN1",0.526858933
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr22",49934004,49934504,"Exon (ENST00000623759.1/ENST00000623759.1, exon 1 of 1)",79174,"CRELD2",49956762,49957262,"Distal Intergenic",415116,"PIM3",0.531797475
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr22",49934004,49934504,"Exon (ENST00000623759.1/ENST00000623759.1, exon 1 of 1)",79174,"CRELD2",49927887,49928387,"Distal Intergenic",79174,"CRELD2",0.561187413
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",50062388,50062888,"Intron (ENST00000506401.6/3675, intron 2 of 13)",3675,"ITGA3",50087369,50087869,"Promoter (<=1kb)",3675,"ITGA3",0.600587164
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",50062388,50062888,"Intron (ENST00000506401.6/3675, intron 2 of 13)",3675,"ITGA3",50063893,50064393,"Exon (ENST00000506401.6/3675, exon 3 of 14)",3675,"ITGA3",0.619835401
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",50062388,50062888,"Intron (ENST00000506401.6/3675, intron 2 of 13)",3675,"ITGA3",50064610,50065110,"Exon (ENST00000508100.1/3675, exon 3 of 3)",3675,"ITGA3",0.684309358
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",50063893,50064393,"Exon (ENST00000506401.6/3675, exon 3 of 14)",3675,"ITGA3",50087369,50087869,"Promoter (<=1kb)",3675,"ITGA3",0.524196184
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",50063893,50064393,"Exon (ENST00000506401.6/3675, exon 3 of 14)",3675,"ITGA3",50064610,50065110,"Exon (ENST00000508100.1/3675, exon 3 of 3)",3675,"ITGA3",0.5196695
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",50063893,50064393,"Exon (ENST00000506401.6/3675, exon 3 of 14)",3675,"ITGA3",50062388,50062888,"Intron (ENST00000506401.6/3675, intron 2 of 13)",3675,"ITGA3",0.619835401
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",50064610,50065110,"Exon (ENST00000508100.1/3675, exon 3 of 3)",3675,"ITGA3",50087369,50087869,"Promoter (<=1kb)",3675,"ITGA3",0.515895917
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",50064610,50065110,"Exon (ENST00000508100.1/3675, exon 3 of 3)",3675,"ITGA3",50063893,50064393,"Exon (ENST00000506401.6/3675, exon 3 of 14)",3675,"ITGA3",0.5196695
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",50064610,50065110,"Exon (ENST00000508100.1/3675, exon 3 of 3)",3675,"ITGA3",50062388,50062888,"Intron (ENST00000506401.6/3675, intron 2 of 13)",3675,"ITGA3",0.684309358
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr12",52195350,52195850,"Intron (ENST00000640420.1/283404, intron 2 of 2)",144501,"KRT80",52165431,52165931,"Promoter (1-2kb)",283404,"LINC00592",0.5339654
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr12",52195350,52195850,"Intron (ENST00000640420.1/283404, intron 2 of 2)",144501,"KRT80",52147259,52147759,"Distal Intergenic",283404,"LINC00592",0.507040706
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr6",54085439,54085939,"Promoter (1-2kb)",90523,"MLIP",54054021,54054521,"Intron (ENST00000505762.1/101927189, intron 2 of 2)",100873951,"MLIP-AS1",0.505704093
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",61680085,61680585,"Promoter (<=1kb)",747,"DAGLA",61695949,61696449,"Intron (ENST00000257215.10/747, intron 1 of 19)",747,"DAGLA",0.651742388
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",66318133,66318633,"Promoter (1-2kb)",57124,"CD248",66322659,66323159,"Distal Intergenic",57124,"CD248",0.522923724
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",66322659,66323159,"Distal Intergenic",57124,"CD248",66318133,66318633,"Promoter (1-2kb)",57124,"CD248",0.522923724
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",66322659,66323159,"Distal Intergenic",57124,"CD248",66370084,66370584,"Promoter (1-2kb)",3177,"SLC29A2",0.51367755
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",66370084,66370584,"Promoter (1-2kb)",3177,"SLC29A2",66322659,66323159,"Distal Intergenic",57124,"CD248",0.51367755
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",67371356,67371856,"Promoter (1-2kb)",57804,"POLD4",67373586,67374086,"Promoter (<=1kb)",23529,"CLCF1",0.557898216
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",67371356,67371856,"Promoter (1-2kb)",57804,"POLD4",67353992,67354492,"Promoter (<=1kb)",57804,"POLD4",0.540299153
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",67374093,67374593,"Promoter (<=1kb)",23529,"CLCF1",67373586,67374086,"Promoter (<=1kb)",23529,"CLCF1",0.573044695
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr9",69131579,69132079,"Intron (ENST00000643352.1/9414, intron 5 of 23)",9414,"TJP2",69173930,69174430,"Promoter (<=1kb)",9414,"TJP2",0.633184576
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr9",69131579,69132079,"Intron (ENST00000643352.1/9414, intron 5 of 23)",9414,"TJP2",69180652,69181152,"Intron (ENST00000643352.1/9414, intron 6 of 23)",9414,"TJP2",0.530222291
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr9",69180652,69181152,"Intron (ENST00000643352.1/9414, intron 6 of 23)",9414,"TJP2",69131579,69132079,"Intron (ENST00000643352.1/9414, intron 5 of 23)",9414,"TJP2",0.530222291
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr17",76385001,76385501,"Promoter (<=1kb)",8877,"SPHK1",76383732,76384232,"Promoter (<=1kb)",8877,"SPHK1",0.536856571
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr4",85477566,85478066,"Promoter (2-3kb)",83478,"ARHGAP24",85512352,85512852,"Intron (ENST00000395184.6/83478, intron 1 of 9)",83478,"ARHGAP24",0.521297319
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr4",85512352,85512852,"Intron (ENST00000395184.6/83478, intron 1 of 9)",83478,"ARHGAP24",85477566,85478066,"Promoter (2-3kb)",83478,"ARHGAP24",0.521297319
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr4",85512352,85512852,"Intron (ENST00000395184.6/83478, intron 1 of 9)",83478,"ARHGAP24",85512973,85513473,"Intron (ENST00000395184.6/83478, intron 1 of 9)",83478,"ARHGAP24",0.554818438
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr16",88782313,88782813,"Promoter (2-3kb)",9780,"PIEZO1",88768109,88768609,"Intron (ENST00000301015.14/9780, intron 1 of 50)",9780,"PIEZO1",0.50245951
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr16",88782313,88782813,"Promoter (2-3kb)",9780,"PIEZO1",88743802,88744302,"Promoter (<=1kb)",339059,"LOC339059",0.509539613
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr16",88782313,88782813,"Promoter (2-3kb)",9780,"PIEZO1",88814916,88815416,"Promoter (2-3kb)",353,"APRT",0.655379779
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr16",88782313,88782813,"Promoter (2-3kb)",9780,"PIEZO1",88812093,88812593,"Promoter (<=1kb)",353,"APRT",0.591222396
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",94152222,94152722,"Intron (ENST00000227638.8/24145, intron 1 of 4)",24145,"PANX1",94129265,94129765,"Promoter (<=1kb)",24145,"PANX1",0.534472982
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",94152222,94152722,"Intron (ENST00000227638.8/24145, intron 1 of 4)",24145,"PANX1",94175467,94175967,"Intron (ENST00000227638.8/24145, intron 2 of 4)",105369435,"LOC105369435",0.61061531
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr11",111299028,111299528,"Promoter (<=1kb)",120376,"COLCA2",111329657,111330157,"Distal Intergenic",105369491,"LOC105369491",0.56599854
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr1",112704461,112704961,"Promoter (<=1kb)",389,"RHOC",112704975,112705475,"Promoter (<=1kb)",389,"RHOC",0.561785447
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr6",116411197,116411697,"Promoter (<=1kb)",29940,"DSE",116373055,116373555,"Promoter (2-3kb)",29940,"DSE",0.51387155
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr12",124621207,124621707,"Distal Intergenic",9612,"NCOR2",124626246,124626746,"Distal Intergenic",9612,"NCOR2",0.521532301
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr10",124625618,124626118,"Intron (ENST00000494792.1/9679, intron 9 of 9)",64077,"LHPP",124631983,124632483,"Intron (ENST00000494792.1/9679, intron 9 of 9)",64077,"LHPP",0.516460678
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr12",124679981,124680481,"Distal Intergenic",949,"SCARB1",124676420,124676920,"Distal Intergenic",9612,"NCOR2",0.560504432
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr3",127781542,127782042,"Promoter (1-2kb)",11343,"MGLL",127780868,127781368,"Promoter (2-3kb)",11343,"MGLL",0.504375761
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr3",127781542,127782042,"Promoter (1-2kb)",11343,"MGLL",127780281,127780781,"Intron (ENST00000453507.6/11343, intron 3 of 6)",11343,"MGLL",0.53163332
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr9",127828448,127828948,"Promoter (<=1kb)",2022,"ENG",127836965,127837465,"Intron (ENST00000480266.5/2022, intron 2 of 14)",2022,"ENG",0.501021809
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr9",127838582,127839082,"Intron (ENST00000480266.5/2022, intron 2 of 14)",2022,"ENG",127796453,127796953,"Promoter (1-2kb)",2356,"FPGS",0.536149266
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr9",127838582,127839082,"Intron (ENST00000480266.5/2022, intron 2 of 14)",2022,"ENG",127821993,127822493,"Promoter (1-2kb)",2022,"ENG",0.506063905
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr2",128301408,128301908,"Intron (ENST00000469019.1/9394, intron 1 of 2)",9394,"HS6ST1",128317700,128318200,"Promoter (<=1kb)",9394,"HS6ST1",0.503673567
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr5",132263835,132264335,"Promoter (2-3kb)",8572,"PDLIM4",132262149,132262649,"Promoter (<=1kb)",8572,"PDLIM4",0.504460172
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr3",134348468,134348968,"Exon (ENST00000568384.1/ENST00000568384.1, exon 1 of 1)",51421,"AMOTL2",134334467,134334967,"Distal Intergenic",105374119,"LINC02004",0.545101862
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr3",134348468,134348968,"Exon (ENST00000568384.1/ENST00000568384.1, exon 1 of 1)",51421,"AMOTL2",134353002,134353502,"Intron (ENST00000273411.2/ENST00000273411.2, intron 1 of 1)",51421,"AMOTL2",0.517889639
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr1",159009596,159010096,"Promoter (<=1kb)",3428,"IFI16",158999655,159000155,"Promoter (<=1kb)",3428,"IFI16",0.51255377
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr5",171494629,171495129,"Distal Intergenic",8817,"FGF18",171521210,171521710,"Distal Intergenic",8817,"FGF18",0.516373944
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr3",184361421,184361921,"Promoter (<=1kb)",1181,"CLCN2",184345586,184346086,"3' UTR",131408,"FAM131A",0.517966049
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr1",203692487,203692987,"Intron (ENST00000367218.7/493, intron 2 of 21)",493,"ATP2B4",203702032,203702532,"Exon (ENST00000367218.7/493, exon 7 of 22)",493,"ATP2B4",0.548592579
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr1",203692487,203692987,"Intron (ENST00000367218.7/493, intron 2 of 21)",493,"ATP2B4",203661540,203662040,"Intron (ENST00000367218.7/493, intron 1 of 21)",493,"ATP2B4",0.528948409
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr2",218297894,218298394,"Intron (ENST00000273077.9/25953, intron 2 of 9)",64114,"TMBIM1",218281207,218281707,"Promoter (<=1kb)",64114,"TMBIM1",0.550830817
"Adipose-Visceral","Adipocytes","old vs mid","DECREASE","chr2",240374183,240374683,"Distal Intergenic",2817,"GPC1",240387545,240388045,"Distal Intergenic",2817,"GPC1",0.515325808
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr18",5539267,5539767,"Promoter (<=1kb)",23136,"EPB41L3",5576640,5577140,"Promoter (<=1kb)",23136,"EPB41L3",0.52467799
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr19",18280208,18280708,"Promoter (<=1kb)",3727,"JUND",18281650,18282150,"Promoter (<=1kb)",100422833,"MIR3188",0.64346171
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr19",18280208,18280708,"Promoter (<=1kb)",3727,"JUND",18281016,18281516,"Promoter (<=1kb)",3727,"JUND",0.630795231
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr19",18280208,18280708,"Promoter (<=1kb)",3727,"JUND",18273512,18274012,"Promoter (<=1kb)",80726,"IQCN",0.503413539
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr19",18280208,18280708,"Promoter (<=1kb)",3727,"JUND",18275443,18275943,"Promoter (<=1kb)",80726,"IQCN",0.512114366
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr8",19936884,19937384,"Promoter (1-2kb)",4023,"LPL",19967378,19967878,"Downstream (<=300bp)",4023,"LPL",0.563917058
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr2",20450324,20450824,"Distal Intergenic",388,"RHOB",20446895,20447395,"Promoter (<=1kb)",388,"RHOB",0.552905765
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr2",20452540,20453040,"Exon (ENST00000448241.1/ENST00000448241.1, exon 2 of 2)",388,"RHOB",20451016,20451516,"Exon (ENST00000448241.1/ENST00000448241.1, exon 1 of 2)",388,"RHOB",0.516203365
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr19",33297491,33297991,"Distal Intergenic",1050,"CEBPA",33294699,33295199,"Distal Intergenic",1050,"CEBPA",0.502903123
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr19",33297491,33297991,"Distal Intergenic",1050,"CEBPA",33295409,33295909,"Distal Intergenic",1050,"CEBPA",0.650626073
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr19",33297491,33297991,"Distal Intergenic",1050,"CEBPA",33296346,33296846,"Distal Intergenic",1050,"CEBPA",0.53062145
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr6",43783071,43783571,"Exon (ENST00000480614.1/7422, exon 3 of 3)",7422,"VEGFA",43737761,43738261,"Exon (ENST00000424283.1/ENST00000424283.1, exon 1 of 3)",7422,"VEGFA",0.551184171
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr6",43784157,43784657,"3' UTR",7422,"VEGFA",43782026,43782526,"Exon (ENST00000372067.8/7422, exon 6 of 7)",7422,"VEGFA",0.531291073
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr1",58778368,58778868,"3' UTR",3725,"JUN",58780294,58780794,"3' UTR",3725,"JUN",0.515593631
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr1",58778368,58778868,"3' UTR",3725,"JUN",58786459,58786959,"Promoter (1-2kb)",101926907,"LOC101926907",0.503554781
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr1",58778368,58778868,"3' UTR",3725,"JUN",58779070,58779570,"Intron (ENST00000678696.1/ENST00000678696.1, intron 1 of 3)",3725,"JUN",0.656454913
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr1",58778368,58778868,"3' UTR",3725,"JUN",58779789,58780289,"Intron (ENST00000678696.1/ENST00000678696.1, intron 1 of 3)",3725,"JUN",0.500349258
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr1",58778368,58778868,"3' UTR",3725,"JUN",58783967,58784467,"Promoter (<=1kb)",3725,"JUN",0.525159287
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr1",58779070,58779570,"Intron (ENST00000678696.1/ENST00000678696.1, intron 1 of 3)",3725,"JUN",58783967,58784467,"Promoter (<=1kb)",3725,"JUN",0.553427942
"Adipose-Visceral","Adipocytes","old vs mid","INCREASE","chr1",58779070,58779570,"Intron (ENST00000678696.1/ENST00000678696.1, intron 1 of 3)",3725,"JUN",58780846,58781346,"Promoter (2-3kb)",3725,"JUN",0.554329753
